Date,Open,High,Low,Close,Adj Close,Volume
2020-11-04,12766.860352,12885.280273,12736.019531,12867.900391,12867.900391,3335500
2020-11-05,12878.009766,12918.799805,12840.400391,12918.799805,12918.799805,2946300
2020-11-06,12952.490234,12999.160156,12927.299805,12973.530273,12973.530273,3215100
2020-11-09,13053.980469,13149.900391,13048.669922,13127.469727,13127.469727,3696600
2020-11-10,13090.650391,13142.219727,13022.919922,13081.719727,13081.719727,4774300
2020-11-11,13067.040039,13262.190430,13067.040039,13262.190430,13262.190430,5109800
2020-11-12,13324.860352,13324.860352,13193.740234,13221.780273,13221.780273,3935700
2020-11-13,13221.799805,13273.330078,13170.120117,13273.330078,13273.330078,3526400
2020-11-16,13356.740234,13551.830078,13356.740234,13551.830078,13551.830078,3858000
2020-11-17,13723.769531,13780.120117,13593.009766,13593.009766,13593.009766,4123400
2020-11-18,13628.419922,13773.290039,13608.719727,13773.290039,13773.290039,4140300
2020-11-19,13775.259766,13785.919922,13700.040039,13722.429688,13722.429688,3973800
2020-11-20,13702.589844,13726.219727,13666.070313,13716.440430,13716.440430,3869400
2020-11-23,13793.549805,13921.160156,13793.549805,13878.009766,13878.009766,4442800
2020-11-24,13918.839844,13951.169922,13798.320313,13807.129883,13807.129883,5153400
2020-11-25,13860.950195,13893.200195,13731.809570,13738.830078,13738.830078,5163800
2020-11-26,13763.790039,13856.759766,13763.790039,13845.660156,13845.660156,4596800
2020-11-27,13833.209961,13885.009766,13811.809570,13867.089844,13867.089844,4863800
2020-11-30,13917.650391,13969.389648,13722.889648,13722.889648,13722.889648,7445200
2020-12-01,13810.549805,13885.669922,13749.709961,13885.669922,13885.669922,6561000
2020-12-02,13970.509766,13995.700195,13894.700195,13989.139648,13989.139648,6589100
2020-12-03,13988.490234,14049.580078,13940.070313,13977.089844,13977.089844,6081000
2020-12-04,14010.169922,14149.559570,14010.169922,14132.440430,14132.440430,6852600
2020-12-07,14230.000000,14306.870117,14142.019531,14256.599609,14256.599609,8157200
2020-12-08,14251.940430,14367.000000,14184.580078,14360.400391,14360.400391,6401000
2020-12-09,14336.690430,14427.410156,14336.690430,14390.139648,14390.139648,6287100
2020-12-10,14295.150391,14319.379883,14191.849609,14249.490234,14249.490234,6332100
2020-12-11,14298.589844,14353.169922,14081.419922,14261.690430,14261.690430,6398300
2020-12-14,14238.919922,14270.339844,14182.250000,14211.049805,14211.049805,5733400
2020-12-15,14206.330078,14256.549805,14053.349609,14068.519531,14068.519531,6314600
2020-12-16,14145.240234,14339.500000,14145.240234,14304.459961,14304.459961,4861300
2020-12-17,14326.160156,14338.400391,14213.490234,14258.929688,14258.929688,4300900
2020-12-18,14268.129883,14329.120117,14245.599609,14249.959961,14249.959961,5686900
2020-12-21,14273.790039,14384.959961,14166.889648,14384.959961,14384.959961,6280700
2020-12-22,14348.110352,14411.929688,14175.690430,14177.459961,14177.459961,8023200
2020-12-23,14180.700195,14247.790039,14134.870117,14223.089844,14223.089844,5537300
2020-12-24,14256.290039,14324.419922,14256.290039,14280.280273,14280.280273,5380500
2020-12-25,14306.980469,14400.830078,14296.969727,14331.419922,14331.419922,5375300
2020-12-28,14363.450195,14483.070313,14363.450195,14483.070313,14483.070313,6279800
2020-12-29,14500.910156,14547.070313,14435.030273,14472.049805,14472.049805,7396000
2020-12-30,14485.969727,14695.440430,14476.690430,14687.700195,14687.700195,6211900
2020-12-31,14704.530273,14760.059570,14646.330078,14732.530273,14732.530273,5881100
2021-01-04,14720.250000,14937.129883,14720.250000,14902.030273,14902.030273,6487600
2021-01-05,14913.639648,15000.030273,14861.990234,15000.030273,15000.030273,6302200
2021-01-06,15145.849609,15197.679688,14837.000000,14983.129883,14983.129883,7787000
2021-01-07,15059.519531,15270.400391,15049.860352,15214.000000,15214.000000,5878900
2021-01-08,15365.129883,15463.950195,15275.379883,15463.950195,15463.950195,6192800
2021-01-11,15425.580078,15557.299805,15395.730469,15557.299805,15557.299805,5319100
2021-01-12,15549.530273,15642.030273,15421.230469,15500.700195,15500.700195,6399400
2021-01-13,15550.160156,15778.519531,15550.160156,15769.980469,15769.980469,5900400
2021-01-14,15651.200195,15760.150391,15620.959961,15707.190430,15707.190430,5571500
